data,method,aggregator,metric,P,R,F1,H,J,KLD,C
arxiv_pubmed,SumyKL,Avg,rouge-1,45.78,34.06,39.06,,,,
arxiv_pubmed,SumyKL,Avg,rouge-2,14.34,10.29,11.98,,,,
arxiv_pubmed,SumyKL,Avg,rouge-3,3.59,3.57,3.55,,,,
arxiv_pubmed,SumyKL,Avg,rouge-4,1.99,1.98,1.97,,,,
arxiv_pubmed,SumyKL,Avg,rouge-l,25.8,19.33,22.1,,,,
arxiv_pubmed,SumyKL,Avg,rouge-su4,19.45,14.09,16.34,,,,
arxiv_pubmed,SumyKL,Avg,rouge-w,13.77,5.59,7.87,,,,
arxiv_pubmed,SumyKL,Avg,NLTK,38.59,27.32,38.59,,,,
arxiv_pubmed,SumyKL,Avg,SKLearn,,,,,,,0.5
arxiv_pubmed,SumyReduction,Avg,rouge-1,27.51,51.75,35.92,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-2,8.69,16.12,11.29,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-3,3.36,3.5,3.41,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-4,2.05,2.13,2.08,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-l,14.87,28.35,19.51,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-su4,11.79,22.14,15.38,,,,
arxiv_pubmed,SumyReduction,Avg,rouge-w,13.01,5.58,7.76,,,,
arxiv_pubmed,SumyReduction,Avg,NLTK,28.03,40.56,28.03,,,,
arxiv_pubmed,SumyReduction,Avg,SKLearn,,,,,,,0.56
arxiv_pubmed,SumyRandom,Avg,rouge-1,38.83,37.91,38.37,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-2,10.24,9.86,10.04,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-3,2.8,2.85,2.81,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-4,1.64,1.66,1.64,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-l,20.37,19.99,20.18,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-su4,15.04,14.54,14.79,,,,
arxiv_pubmed,SumyRandom,Avg,rouge-w,12.33,5.13,7.19,,,,
arxiv_pubmed,SumyRandom,Avg,NLTK,32.18,32.56,32.18,,,,
arxiv_pubmed,SumyRandom,Avg,SKLearn,,,,,,,0.47
arxiv_pubmed,SumyLuhn,Avg,rouge-1,26.39,56.37,35.95,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-2,8.86,18.33,11.94,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-3,3.78,3.89,3.82,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-4,2.38,2.44,2.4,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-l,13.79,29.97,18.89,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-su4,11.58,24.48,15.72,,,,
arxiv_pubmed,SumyLuhn,Avg,rouge-w,13.05,5.55,7.73,,,,
arxiv_pubmed,SumyLuhn,Avg,NLTK,27.25,45.48,27.25,,,,
arxiv_pubmed,SumyLuhn,Avg,SKLearn,,,,,,,0.55
arxiv_pubmed,SumyLsa,Avg,rouge-1,37.84,36.8,37.31,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-2,9.6,9.13,9.36,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-3,2.87,2.91,2.87,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-4,1.67,1.69,1.68,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-l,19.5,19.05,19.27,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-su4,13.94,13.38,13.65,,,,
arxiv_pubmed,SumyLsa,Avg,rouge-w,11.92,4.98,6.97,,,,
arxiv_pubmed,SumyLsa,Avg,NLTK,32.03,34.84,32.03,,,,
arxiv_pubmed,SumyLsa,Avg,SKLearn,,,,,,,0.4
arxiv_pubmed,SumyLexRank,Avg,rouge-1,37.09,51.76,43.21,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-2,12.78,17.51,14.77,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-3,4.69,4.85,4.75,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-4,2.86,2.96,2.89,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-l,19.05,27.01,22.34,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-su4,16.34,22.67,18.99,,,,
arxiv_pubmed,SumyLexRank,Avg,rouge-w,14.31,6.09,8.48,,,,
arxiv_pubmed,SumyLexRank,Avg,NLTK,35.17,42.62,35.17,,,,
