data,method,aggregator,metric,P,R,F1,H,J,KLD,C
big_patent,SumyRandom,Avg,rouge-1,27.66,40.2,32.77,,,,
big_patent,SumyRandom,Avg,rouge-2,6.47,10.11,7.89,,,,
big_patent,SumyRandom,Avg,rouge-3,1.74,1.92,1.79,,,,
big_patent,SumyRandom,Avg,rouge-4,0.59,0.65,0.61,,,,
big_patent,SumyRandom,Avg,rouge-l,16.13,23.72,19.2,,,,
big_patent,SumyRandom,Avg,rouge-su4,10.11,15.32,12.18,,,,
big_patent,SumyRandom,Avg,rouge-w,12.11,5.7,7.45,,,,
big_patent,SumyRandom,Avg,Gensim,,,,0.46,0.85,2.19,
big_patent,SumyRandom,Avg,NLTK,23.76,36.26,23.76,,,,
big_patent,SumyRandom,Avg,SKLearn,,,,,,,0.41
big_patent,SumyLuhn,Avg,rouge-1,14.33,61.66,23.26,,,,
big_patent,SumyLuhn,Avg,rouge-2,4.64,20.5,7.57,,,,
big_patent,SumyLuhn,Avg,rouge-3,2.4,2.79,2.53,,,,
big_patent,SumyLuhn,Avg,rouge-4,0.96,1.12,1.01,,,,
big_patent,SumyLuhn,Avg,rouge-l,8.6,38.87,14.08,,,,
big_patent,SumyLuhn,Avg,rouge-su4,6.32,28.21,10.33,,,,
big_patent,SumyLuhn,Avg,rouge-w,12.58,6.38,8.16,,,,
big_patent,SumyLuhn,Avg,Gensim,,,,0.47,0.89,2.2,
big_patent,SumyLuhn,Avg,NLTK,17.76,52.02,17.76,,,,
big_patent,SumyLuhn,Avg,SKLearn,,,,,,,0.5
big_patent,SumyLsa,Avg,rouge-1,27.08,36.38,31.05,,,,
big_patent,SumyLsa,Avg,rouge-2,5.39,7.51,6.28,,,,
big_patent,SumyLsa,Avg,rouge-3,1.5,1.66,1.54,,,,
big_patent,SumyLsa,Avg,rouge-4,0.54,0.6,0.56,,,,
big_patent,SumyLsa,Avg,rouge-l,15.46,21.09,17.84,,,,
big_patent,SumyLsa,Avg,rouge-su4,9.0,12.39,10.43,,,,
big_patent,SumyLsa,Avg,rouge-w,11.15,5.35,6.95,,,,
big_patent,SumyLsa,Avg,Gensim,,,,0.46,0.86,2.18,
big_patent,SumyLsa,Avg,NLTK,23.17,35.71,23.17,,,,
big_patent,SumyLsa,Avg,SKLearn,,,,,,,0.33
big_patent,SumyLexRank,Avg,rouge-1,20.23,57.24,29.9,,,,
big_patent,SumyLexRank,Avg,rouge-2,6.19,18.48,9.27,,,,
big_patent,SumyLexRank,Avg,rouge-3,2.73,3.15,2.87,,,,
big_patent,SumyLexRank,Avg,rouge-4,1.07,1.24,1.13,,,,
big_patent,SumyLexRank,Avg,rouge-l,11.77,34.87,17.6,,,,
big_patent,SumyLexRank,Avg,rouge-su4,8.53,25.38,12.77,,,,
big_patent,SumyLexRank,Avg,rouge-w,13.17,6.67,8.53,,,,
big_patent,SumyLexRank,Avg,Gensim,,,,0.47,0.86,2.23,
big_patent,SumyLexRank,Avg,NLTK,21.52,48.75,21.52,,,,
big_patent,SumyLexRank,Avg,SKLearn,,,,,,,0.5
big_patent,SumyTextRank,Avg,rouge-1,14.72,60.77,23.7,,,,
big_patent,SumyTextRank,Avg,rouge-2,4.77,20.26,7.72,,,,
big_patent,SumyTextRank,Avg,rouge-3,2.32,2.71,2.45,,,,
big_patent,SumyTextRank,Avg,rouge-4,0.91,1.06,0.96,,,,
big_patent,SumyTextRank,Avg,rouge-l,8.92,38.54,14.49,,,,
big_patent,SumyTextRank,Avg,rouge-su4,6.51,27.9,10.56,,,,
big_patent,SumyTextRank,Avg,rouge-w,12.63,6.44,8.23,,,,
big_patent,SumyTextRank,Avg,Gensim,,,,0.48,0.89,2.25,
big_patent,SumyTextRank,Avg,NLTK,17.89,51.25,17.89,,,,
big_patent,SumyTextRank,Avg,SKLearn,,,,,,,0.52
big_patent,SumySumBasic,Avg,rouge-1,34.38,35.34,34.85,,,,
big_patent,SumySumBasic,Avg,rouge-2,8.34,9.07,8.69,,,,
big_patent,SumySumBasic,Avg,rouge-3,2.14,2.09,2.05,,,,
big_patent,SumySumBasic,Avg,rouge-4,0.74,0.72,0.71,,,,
big_patent,SumySumBasic,Avg,rouge-l,20.58,20.89,20.73,,,,
big_patent,SumySumBasic,Avg,rouge-su4,12.86,13.47,13.16,,,,
big_patent,SumySumBasic,Avg,rouge-w,14.3,5.59,7.63,,,,
big_patent,SumySumBasic,Avg,Gensim,,,,0.46,0.85,2.17,
big_patent,SumySumBasic,Avg,NLTK,29.76,34.05,29.76,,,,
big_patent,SumySumBasic,Avg,SKLearn,,,,,,,0.42
big_patent,SumyKL,Avg,rouge-1,34.28,31.92,33.06,,,,
big_patent,SumyKL,Avg,rouge-2,9.13,8.3,8.69,,,,
big_patent,SumyKL,Avg,rouge-3,2.45,2.35,2.32,,,,
big_patent,SumyKL,Avg,rouge-4,0.87,0.83,0.82,,,,
big_patent,SumyKL,Avg,rouge-l,21.66,20.43,21.02,,,,
big_patent,SumyKL,Avg,rouge-su4,13.26,12.13,12.67,,,,
big_patent,SumyKL,Avg,rouge-w,14.14,5.92,7.99,,,,
big_patent,SumyKL,Avg,Gensim,,,,0.46,0.85,2.17,
big_patent,SumyKL,Avg,NLTK,28.65,27.77,28.65,,,,
big_patent,SumyKL,Avg,SKLearn,,,,,,,0.42
big_patent,SumyReduction,Avg,rouge-1,15.16,59.29,24.15,,,,
big_patent,SumyReduction,Avg,rouge-2,4.75,19.7,7.65,,,,
big_patent,SumyReduction,Avg,rouge-3,2.25,2.62,2.38,,,,
big_patent,SumyReduction,Avg,rouge-4,0.86,1.01,0.91,,,,
big_patent,SumyReduction,Avg,rouge-l,9.34,37.68,14.97,,,,
big_patent,SumyReduction,Avg,rouge-su4,6.57,27.15,10.58,,,,
big_patent,SumyReduction,Avg,rouge-w,12.58,6.37,8.15,,,,
big_patent,SumyReduction,Avg,Gensim,,,,0.47,0.89,2.23,
big_patent,SumyReduction,Avg,NLTK,18.65,49.88,18.65,,,,
big_patent,SumyReduction,Avg,SKLearn,,,,,,,0.51
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-1,30.6,34.14,32.27,,,,
big_patent,Transformers-facebook/bart-large-cnn,Avg,rouge-2,7.8,8.58,8.17,,,,
