data,method,aggregator,metric,P,R,F1,H,J,KLD,C
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-1,33.29,33.54,33.41,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-2,15.87,15.88,15.87,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-3,12.82,12.97,12.74,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-4,9.38,9.42,9.28,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-l,25.29,25.53,25.41,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,15.89,15.93,15.91,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,rouge-w,24.33,11.77,15.61,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.44,0.84,1.8,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,NLTK,33.8,33.91,33.8,,,,
cnn_corpus_abstractive,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.35
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-1,22.24,23.24,22.73,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-2,6.26,6.62,6.43,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-3,4.38,4.68,4.46,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-4,2.6,2.76,2.63,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-l,15.81,16.65,16.22,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-su4,7.65,8.03,7.84,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,rouge-w,15.7,7.94,10.35,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.45,0.89,1.87,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,NLTK,25.75,22.45,25.75,,,,
cnn_corpus_abstractive,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.25
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,24.43,18.25,20.9,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,4.98,3.65,4.21,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,2.9,2.13,2.42,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,1.38,1.0,1.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,16.32,12.25,14.0,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,7.29,5.31,6.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,16.5,5.93,8.58,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.42,0.9,1.71,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,24.14,18.73,24.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,24.43,18.25,20.90,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2, 4.98, 3.65, 4.21,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3, 2.90, 2.13, 2.42,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4, 1.38, 1.00, 1.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,16.32,12.25,14.00,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4, 7.29, 5.31, 6.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,16.50, 5.93, 8.58,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.42, 0.90, 1.71,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,24.14,18.73,24.14,,,,
cnn_corpus_abstractive,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.22
