data,method,aggregator,metric,P,R,F1,H,J,KLD,C
cnn_dailymail,SumyRandom,Avg,rouge-1,25.01,19.74,22.06,,,,
cnn_dailymail,SumyRandom,Avg,rouge-2,6.39,5.04,5.64,,,,
cnn_dailymail,SumyRandom,Avg,rouge-3,4.04,3.37,3.48,,,,
cnn_dailymail,SumyRandom,Avg,rouge-4,2.63,2.13,2.22,,,,
cnn_dailymail,SumyRandom,Avg,rouge-l,17.21,13.45,15.1,,,,
cnn_dailymail,SumyRandom,Avg,rouge-su4,8.54,6.6,7.44,,,,
cnn_dailymail,SumyRandom,Avg,rouge-w,15.53,6.06,8.23,,,,
cnn_dailymail,SumyRandom,Avg,Gensim,,,,0.44,0.9,1.84,
cnn_dailymail,SumyRandom,Avg,NLTK,24.95,20.89,24.95,,,,
cnn_dailymail,SumyRandom,Avg,SKLearn,,,,,,,0.22
cnn_dailymail,SumyLuhn,Avg,rouge-1,25.01,32.08,28.11,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-2,8.46,10.43,9.34,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-3,5.61,7.21,6.08,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-4,3.68,4.64,3.94,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-l,16.69,21.46,18.77,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-su4,9.62,12.13,10.73,,,,
cnn_dailymail,SumyLuhn,Avg,rouge-w,14.65,9.29,10.86,,,,
cnn_dailymail,SumyLuhn,Avg,Gensim,,,,0.45,0.86,1.88,
cnn_dailymail,SumyLuhn,Avg,NLTK,28.12,32.53,28.12,,,,
cnn_dailymail,SumyLuhn,Avg,SKLearn,,,,,,,0.3
cnn_dailymail,SumyLsa,Avg,rouge-1,25.64,22.27,23.84,,,,
cnn_dailymail,SumyLsa,Avg,rouge-2,7.19,6.15,6.63,,,,
cnn_dailymail,SumyLsa,Avg,rouge-3,4.6,4.18,4.2,,,,
cnn_dailymail,SumyLsa,Avg,rouge-4,2.93,2.62,2.64,,,,
cnn_dailymail,SumyLsa,Avg,rouge-l,17.2,15.0,16.03,,,,
cnn_dailymail,SumyLsa,Avg,rouge-su4,8.85,7.56,8.15,,,,
cnn_dailymail,SumyLsa,Avg,rouge-w,15.53,6.79,9.04,,,,
cnn_dailymail,SumyLsa,Avg,Gensim,,,,0.44,0.89,1.86,
cnn_dailymail,SumyLsa,Avg,NLTK,26.0,24.53,26.0,,,,
cnn_dailymail,SumyLsa,Avg,SKLearn,,,,,,,0.22
cnn_dailymail,SumyLexRank,Avg,rouge-1,27.86,28.71,28.28,,,,
cnn_dailymail,SumyLexRank,Avg,rouge-2,8.75,8.92,8.84,,,,
