data,method,aggregator,metric,P,R,F1,H,J,KLD,C
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-1,3.18,19.81,5.47,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-2,0.86,6.79,1.52,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-3,0.36,4.48,0.62,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-4,0.13,2.61,0.23,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-l,3.1,19.48,5.35,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,0.56,10.09,1.07,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,rouge-w,5.0,32.21,7.62,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.41,0.98,0.83,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,NLTK,3.43,19.83,5.13,,,,
mcti_politicas,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.11
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,3.48,17.63,5.81,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,0.85,5.97,1.48,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,0.93,7.43,1.52,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,0.43,3.73,0.7,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,3.38,17.27,5.65,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,0.63,8.27,1.18,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,5.58,30.63,8.24,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.37,0.97,0.69,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,3.63,17.64,5.32,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1, 3.48,17.63, 5.81,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2, 0.85, 5.97, 1.48,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3, 0.93, 7.43, 1.52,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4, 0.43, 3.73, 0.70,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l, 3.38,17.27, 5.65,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4, 0.63, 8.27, 1.18,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w, 5.58,30.63, 8.24,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.37, 0.97, 0.69,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK, 3.63,17.64, 5.32,,,,
mcti_politicas,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.10
