data,method,aggregator,metric,P,R,F1,H,J,KLD,C
xsum,SumyKL,Avg,rouge-1,13.63,16.05,14.74,,,,
xsum,SumyKL,Avg,rouge-2,1.75,2.04,1.89,,,,
xsum,SumyKL,Avg,rouge-3,0.61,0.72,0.63,,,,
xsum,SumyKL,Avg,rouge-4,0.21,0.24,0.22,,,,
xsum,SumyKL,Avg,rouge-l,10.65,12.59,11.54,,,,
xsum,SumyKL,Avg,rouge-su4,3.78,4.49,4.1,,,,
xsum,SumyKL,Avg,rouge-w,11.19,7.2,8.37,,,,
xsum,SumyKL,Avg,Gensim,,,,0.42,0.93,1.51,
xsum,SumyKL,Avg,NLTK,14.02,15.4,14.02,,,,
xsum,SumyKL,Avg,SKLearn,,,,,,,0.14
xsum,SumyReduction,Avg,rouge-1,12.97,18.77,15.34,,,,
xsum,SumyReduction,Avg,rouge-2,1.63,2.35,1.93,,,,
xsum,SumyReduction,Avg,rouge-3,0.58,0.87,0.67,,,,
xsum,SumyReduction,Avg,rouge-4,0.21,0.32,0.24,,,,
xsum,SumyReduction,Avg,rouge-l,9.95,14.33,11.74,,,,
xsum,SumyReduction,Avg,rouge-su4,3.6,5.33,4.3,,,,
xsum,SumyReduction,Avg,rouge-w,10.38,7.97,8.5,,,,
xsum,SumyReduction,Avg,Gensim,,,,0.41,0.93,1.49,
xsum,SumyReduction,Avg,NLTK,13.56,17.97,13.56,,,,
xsum,SumyReduction,Avg,SKLearn,,,,,,,0.15
xsum,SumyRandom,Avg,rouge-1,12.48,12.02,12.24,,,,
xsum,SumyRandom,Avg,rouge-2,1.24,1.22,1.23,,,,
xsum,SumyRandom,Avg,rouge-3,0.46,0.44,0.42,,,,
xsum,SumyRandom,Avg,rouge-4,0.16,0.15,0.15,,,,
xsum,SumyRandom,Avg,rouge-l,9.97,9.47,9.71,,,,
xsum,SumyRandom,Avg,rouge-su4,3.34,3.13,3.23,,,,
xsum,SumyRandom,Avg,rouge-w,11.26,5.68,7.1,,,,
xsum,SumyRandom,Avg,Gensim,,,,0.41,0.94,1.45,
xsum,SumyRandom,Avg,NLTK,12.61,11.98,12.61,,,,
xsum,SumyRandom,Avg,SKLearn,,,,,,,0.1
xsum,SumyLuhn,Avg,rouge-1,12.64,18.15,14.9,,,,
xsum,SumyLuhn,Avg,rouge-2,1.53,2.21,1.81,,,,
xsum,SumyLuhn,Avg,rouge-3,0.55,0.82,0.64,,,,
xsum,SumyLuhn,Avg,rouge-4,0.18,0.28,0.21,,,,
xsum,SumyLuhn,Avg,rouge-l,9.55,13.71,11.26,,,,
xsum,SumyLuhn,Avg,rouge-su4,3.37,5.03,4.04,,,,
xsum,SumyLuhn,Avg,rouge-w,9.91,7.74,8.3,,,,
xsum,SumyLuhn,Avg,Gensim,,,,0.42,0.93,1.53,
xsum,SumyLuhn,Avg,NLTK,13.25,17.65,13.25,,,,
xsum,SumyLuhn,Avg,SKLearn,,,,,,,0.14
xsum,SumyLsa,Avg,rouge-1,12.35,12.74,12.54,,,,
xsum,SumyLsa,Avg,rouge-2,1.15,1.19,1.17,,,,
xsum,SumyLsa,Avg,rouge-3,0.44,0.44,0.42,,,,
xsum,SumyLsa,Avg,rouge-4,0.14,0.14,0.13,,,,
xsum,SumyLsa,Avg,rouge-l,9.45,9.71,9.58,,,,
xsum,SumyLsa,Avg,rouge-su4,3.07,3.17,3.12,,,,
xsum,SumyLsa,Avg,rouge-w,10.53,5.92,7.29,,,,
xsum,SumyLsa,Avg,Gensim,,,,0.41,0.94,1.48,
xsum,SumyLsa,Avg,NLTK,12.39,13.25,12.39,,,,
xsum,SumyLsa,Avg,SKLearn,,,,,,,0.09
xsum,SumyLexRank,Avg,rouge-1,13.67,15.52,14.54,,,,
xsum,SumyLexRank,Avg,rouge-2,1.61,1.83,1.71,,,,
xsum,SumyLexRank,Avg,rouge-3,0.53,0.64,0.55,,,,
xsum,SumyLexRank,Avg,rouge-4,0.17,0.22,0.18,,,,
xsum,SumyLexRank,Avg,rouge-l,10.53,11.84,11.15,,,,
xsum,SumyLexRank,Avg,rouge-su4,3.71,4.2,3.94,,,,
xsum,SumyLexRank,Avg,rouge-w,11.35,6.89,8.09,,,,
xsum,SumyLexRank,Avg,Gensim,,,,0.42,0.93,1.5,
xsum,SumyLexRank,Avg,NLTK,14.01,15.36,14.01,,,,
xsum,SumyLexRank,Avg,SKLearn,,,,,,,0.12
xsum,SumyTextRank,Avg,rouge-1,12.35,19.02,14.98,,,,
xsum,SumyTextRank,Avg,rouge-2,1.51,2.34,1.84,,,,
xsum,SumyTextRank,Avg,rouge-3,0.54,0.86,0.64,,,,
xsum,SumyTextRank,Avg,rouge-4,0.2,0.31,0.23,,,,
xsum,SumyTextRank,Avg,rouge-l,9.43,14.51,11.43,,,,
xsum,SumyTextRank,Avg,rouge-su4,3.33,5.37,4.11,,,,
xsum,SumyTextRank,Avg,rouge-w,9.59,8.04,8.4,,,,
xsum,SumyTextRank,Avg,Gensim,,,,0.42,0.93,1.51,
xsum,SumyTextRank,Avg,NLTK,12.98,18.17,12.98,,,,
xsum,SumyTextRank,Avg,SKLearn,,,,,,,0.15
xsum,SumySumBasic,Avg,rouge-1,15.92,12.81,14.2,,,,
xsum,SumySumBasic,Avg,rouge-2,1.82,1.52,1.66,,,,
xsum,SumySumBasic,Avg,rouge-3,0.57,0.5,0.5,,,,
xsum,SumySumBasic,Avg,rouge-4,0.18,0.16,0.16,,,,
xsum,SumySumBasic,Avg,rouge-l,13.1,10.4,11.59,,,,
xsum,SumySumBasic,Avg,rouge-su4,4.75,3.55,4.06,,,,
xsum,SumySumBasic,Avg,rouge-w,14.3,6.04,7.93,,,,
xsum,SumySumBasic,Avg,Gensim,,,,0.4,0.93,1.43,
xsum,SumySumBasic,Avg,NLTK,16.17,12.4,16.17,,,,
xsum,SumySumBasic,Avg,SKLearn,,,,,,,0.14
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-1,16.64,13.28,14.77,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-2,2.57,2.03,2.27,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-3,0.92,0.72,0.79,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-4,0.28,0.22,0.24,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-l,13.33,10.64,11.84,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-su4,4.62,3.57,4.03,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,rouge-w,14.43,6.45,8.7,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.4,0.93,1.42,
xsum,Transformers-facebook/bart-large-cnn,Avg,NLTK,16.87,13.55,16.87,,,,
xsum,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.12
xsum,Transformers-google/pegasus-xsum,Avg,rouge-1,43.72,35.68,39.29,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-2,21.39,17.47,19.23,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-3,14.92,12.16,13.2,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-4,9.32,7.55,8.22,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-l,37.84,30.96,34.06,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-su4,21.83,17.47,19.41,,,,
xsum,Transformers-google/pegasus-xsum,Avg,rouge-w,36.4,16.43,22.26,,,,
xsum,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.39,0.81,1.36,
xsum,Transformers-google/pegasus-xsum,Avg,NLTK,44.14,36.28,44.14,,,,
xsum,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.32
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,35.68,25.83,29.97,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,13.23,9.5,11.06,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3,7.97,5.6,6.47,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4,4.34,3.0,3.49,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,30.06,21.82,25.28,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,15.05,10.38,12.29,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,29.76,11.81,16.62,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.4,0.85,1.4,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,35.98,26.56,35.98,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-1,35.68,25.83,29.97,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-2,13.23, 9.50,11.06,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-3, 7.97, 5.60, 6.47,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-4, 4.34, 3.00, 3.49,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-l,30.06,21.82,25.28,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-su4,15.05,10.38,12.29,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,rouge-w,29.76,11.81,16.62,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.40, 0.85, 1.40,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,NLTK,35.98,26.56,35.98,,,,
xsum,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.24
